model,split,cumulative_profit,max_drawdown,sharpe,profit_factor
logistic,val,-0.7599217590015849,-0.7629621227467681,-0.5970185944322852,0.8303830644637624
logistic,test,-0.841144902252651,-0.8530643963688826,-0.7977901804320405,0.7819977131955321
random_forest,val,-1.6256504638869798,-1.6301175098454947,-1.274159095785116,0.6743836848160544
random_forest,test,-1.754136367588048,-1.7575800014325937,-1.645314540255261,0.6057714624027637
