model,split,year,best_threshold,accuracy,precision,recall,f1_score,cumulative_profit,max_drawdown,sharpe,profit_factor
logistic,val,2023,0.15,0.5122837204856132,0.5123118216828101,0.42150744119059047,0.46249473240623684,0.0018523005969232002,-0.002208155190903,0.039830077635396616,1.8025026238372388
logistic,test,2024,0.15,0.5095573652896747,0.5063027512879535,0.3935082637587323,0.44283591390633237,-0.006939702587869927,-0.006939702587869926,-0.13564177667427652,0.0
random_forest,val,2023,0.15,0.5166810056399962,0.5167126309983453,0.44973595775324055,0.4809034907597536,0.0,0.0,0.0,inf
random_forest,test,2024,0.15,0.5104434786277902,0.5068465565847765,0.4288635201908332,0.4646054453161052,0.0,0.0,0.0,inf
