,cumulative_profit,max_drawdown,sharpe,profit_factor
Random,0.018221231970670382,-0.0493175591648537,0.034898642092836475,1.008214217410269
Rule,-0.03222310107741655,-0.06711034665286986,-0.050245689351812735,0.9903658982776535
ML,0.016573664619474737,-0.08521442903457743,0.025843326931507517,1.0049916264959784
RL,0.0,0.0,0.0,inf
